"gene","cluster","species","percent_expressed","n_high_expression_celltype","n_gene_per_cluster"
"fkh","Ach_14","Dsim",0.562,16,43
"salr","Ach_14","Dmel",0.317,15,43
"salr","Ach_14","Dsec",0.327,15,43
"salr","Ach_14","Dsim",0.329,15,43
"Atf6","Ach_15","Dmel",0.329,9,56
"Atf6","Ach_15","Dsec",0.303,9,56
"Atf6","Ach_15","Dsim",0.328,9,56
"CG14431","Ach_15","Dmel",0.696,9,56
"CG14431","Ach_15","Dsec",0.622,9,56
"CG14431","Ach_15","Dsim",0.776,9,56
"FoxK","Ach_15","Dmel",0.392,4,56
"FoxK","Ach_15","Dsec",0.329,4,56
"FoxK","Ach_15","Dsim",0.321,4,56
"Hr3","Ach_15","Dmel",0.329,5,56
"Hr3","Ach_15","Dsec",0.305,5,56
"Hr3","Ach_15","Dsim",0.603,5,56
"ara","Ach_15","Dmel",0.595,7,56
"ara","Ach_15","Dsec",0.697,7,56
"ara","Ach_15","Dsim",0.604,7,56
"caup","Ach_15","Dmel",0.62,10,56
"caup","Ach_15","Dsec",0.768,10,56
"caup","Ach_15","Dsim",0.741,10,56
"pho","Ach_15","Dmel",0.405,3,56
"pho","Ach_15","Dsec",0.439,3,56
"pho","Ach_15","Dsim",0.379,3,56
"vvl","Ach_15","Dmel",0.481,20,56
"vvl","Ach_15","Dsec",0.5,20,56
"vvl","Ach_15","Dsim",0.453,20,56
"zld","Ach_15","Dmel",0.304,19,56
"zld","Ach_15","Dsec",0.424,19,56
"zld","Ach_15","Dsim",0.603,19,56
"Atf6","Ach_16","Dmel",0.458,9,66
"Atf6","Ach_16","Dsec",0.322,9,66
"Atf6","Ach_16","Dsim",0.352,9,66
"CG12769","Ach_16","Dmel",0.347,4,66
"CG12769","Ach_16","Dsec",0.305,4,66
"CG12769","Ach_16","Dsim",0.423,4,66
"CG14431","Ach_16","Dmel",0.861,9,66
"CG14431","Ach_16","Dsec",0.915,9,66
"CG14431","Ach_16","Dsim",0.915,9,66
"CG32532","Ach_16","Dmel",0.472,14,66
"CG32532","Ach_16","Dsec",0.373,14,66
"CG32532","Ach_16","Dsim",0.31,14,66
"Sox21a","Ach_16","Dmel",0.472,2,66
"Sox21a","Ach_16","Dsec",0.368,2,66
"Sox21a","Ach_16","Dsim",0.38,2,66
"dac","Ach_16","Dmel",0.792,19,66
"dac","Ach_16","Dsec",0.877,19,66
"dac","Ach_16","Dsim",0.775,19,66
"Ets65A","Ach_17","Dmel",0.677,13,40
"Ets65A","Ach_17","Dsec",0.519,13,40
"Ets65A","Ach_17","Dsim",0.513,13,40
"Optix","Ach_17","Dmel",0.452,10,40
"Optix","Ach_17","Dsec",0.494,10,40
"Optix","Ach_17","Dsim",0.593,10,40
"aop","Ach_17","Dmel",0.839,13,40
"aop","Ach_17","Dsec",0.556,13,40
"aop","Ach_17","Dsim",0.59,13,40
"pho","Ach_2","Dmel",0.328,3,26
"pho","Ach_2","Dsec",0.334,3,26
"pho","Ach_2","Dsim",0.3,3,26
"rn","Ach_2","Dmel",0.403,17,26
"rn","Ach_2","Dsec",0.415,17,26
"rn","Ach_2","Dsim",0.422,17,26
"vvl","Ach_4","Dmel",0.382,20,42
"vvl","Ach_4","Dsec",0.411,20,42
"vvl","Ach_4","Dsim",0.41,20,42
"CG14431","Ach_5","Dmel",0.419,9,13
"CG14431","Ach_5","Dsec",0.415,9,13
"CG14431","Ach_5","Dsim",0.375,9,13
"Sox102F","Ach_5","Dmel",0.451,7,13
"Sox102F","Ach_5","Dsec",0.409,7,13
"Sox102F","Ach_5","Dsim",0.487,7,13
"SoxN","Ach_5","Dmel",0.474,14,13
"SoxN","Ach_5","Dsec",0.315,14,13
"SoxN","Ach_5","Dsim",0.485,14,13
"bi","Ach_5","Dmel",0.747,18,13
"bi","Ach_5","Dsec",0.653,18,13
"bi","Ach_5","Dsim",0.681,18,13
"scro","Ach_5","Dmel",0.346,5,13
"scro","Ach_5","Dsec",0.374,5,13
"scro","Ach_5","Dsim",0.348,5,13
"CG32532","Ach_6","Dmel",0.405,14,12
"CG32532","Ach_6","Dsec",0.342,14,12
"CG32532","Ach_6","Dsim",0.363,14,12
"Awh","Ach_7","Dmel",0.5,2,38
"Awh","Ach_7","Dsec",0.463,2,38
"Awh","Ach_7","Dsim",0.545,2,38
"Sox102F","Ach_7","Dmel",0.32,7,38
"Sox102F","Ach_7","Dsec",0.386,7,38
"Sox102F","Ach_7","Dsim",0.357,7,38
"exex","Ach_7","Dmel",0.556,1,38
"exex","Ach_7","Dsec",0.397,1,38
"exex","Ach_7","Dsim",0.468,1,38
"fkh","Ach_7","Dmel",0.831,16,38
"fkh","Ach_7","Dsec",0.831,16,38
"fkh","Ach_7","Dsim",0.915,16,38
"rn","Ach_7","Dmel",0.455,17,38
"rn","Ach_7","Dsec",0.422,17,38
"rn","Ach_7","Dsim",0.37,17,38
"run","Ach_7","Dmel",0.466,1,38
"run","Ach_7","Dsec",0.422,1,38
"run","Ach_7","Dsim",0.596,1,38
"Lim3","Ach_8","Dmel",0.492,6,41
"Lim3","Ach_8","Dsec",0.473,6,41
"Lim3","Ach_8","Dsim",0.574,6,41
"SoxN","Ach_8","Dmel",0.555,14,41
"SoxN","Ach_8","Dsec",0.404,14,41
"SoxN","Ach_8","Dsim",0.664,14,41
"acj6","Ach_8","Dmel",0.859,7,41
"acj6","Ach_8","Dsec",0.78,7,41
"acj6","Ach_8","Dsim",0.885,7,41
"bi","Ach_8","Dmel",0.797,18,41
"bi","Ach_8","Dsec",0.902,18,41
"bi","Ach_8","Dsim",0.882,18,41
"fkh","Ach_8","Dmel",0.656,16,41
"fkh","Ach_8","Dsec",0.587,16,41
"fkh","Ach_8","Dsim",0.682,16,41
"kn","Ach_8","Dmel",0.898,3,41
"kn","Ach_8","Dsec",0.844,3,41
"kn","Ach_8","Dsim",0.909,3,41
"sr","Ach_8","Dmel",0.328,14,41
"sr","Ach_8","Dsec",0.571,14,41
"sr","Ach_8","Dsim",0.393,14,41
"Lim3","Ach_9","Dmel",0.485,6,23
"Lim3","Ach_9","Dsec",0.49,6,23
"Lim3","Ach_9","Dsim",0.53,6,23
"acj6","Ach_9","Dmel",0.91,7,23
"acj6","Ach_9","Dsec",0.753,7,23
"acj6","Ach_9","Dsim",0.835,7,23
"bi","Ach_9","Dmel",0.791,18,23
"bi","Ach_9","Dsec",0.725,18,23
"bi","Ach_9","Dsim",0.764,18,23
"fkh","Ach_9","Dmel",0.657,16,23
"fkh","Ach_9","Dsec",0.735,16,23
"fkh","Ach_9","Dsim",0.835,16,23
"Scr","AstC_FMRFa","Dmel",0.4,3,24
"Scr","AstC_FMRFa","Dsec",0.641,3,24
"Scr","AstC_FMRFa","Dsim",0.629,3,24
"Six4","AstC_FMRFa","Dmel",0.446,2,24
"Six4","AstC_FMRFa","Dsec",0.547,2,24
"Six4","AstC_FMRFa","Dsim",0.571,2,24
"zld","AstC_FMRFa","Dmel",0.446,19,24
"zld","AstC_FMRFa","Dsec",0.467,19,24
"zld","AstC_FMRFa","Dsim",0.474,19,24
"Fer1","CCHa2","Dmel",0.378,5,33
"Fer1","CCHa2","Dsec",0.362,5,33
"Fer1","CCHa2","Dsim",0.428,5,33
"bi","CCHa2","Dmel",0.756,18,33
"bi","CCHa2","Dsec",0.79,18,33
"bi","CCHa2","Dsim",0.792,18,33
"dac","CCHa2","Dmel",0.381,19,33
"dac","CCHa2","Dsec",0.37,19,33
"dac","CCHa2","Dsim",0.398,19,33
"vvl","CCHa2","Dmel",0.438,20,33
"vvl","CCHa2","Dsec",0.434,20,33
"vvl","CCHa2","Dsim",0.438,20,33
"Clk","CTX","Dmel",0.448,2,145
"Clk","CTX","Dsec",0.479,2,145
"Clk","CTX","Dsim",0.324,2,145
"CrebA","CTX","Dmel",0.301,5,145
"CrebA","CTX","Dsec",0.314,5,145
"CrebA","CTX","Dsim",0.324,5,145
"Eip74EF","CTX","Dmel",0.548,3,145
"Eip74EF","CTX","Dsec",0.692,3,145
"Eip74EF","CTX","Dsim",0.62,3,145
"SoxN","CTX","Dmel",0.864,14,145
"SoxN","CTX","Dsec",0.623,14,145
"SoxN","CTX","Dsim",0.854,14,145
"aop","CTX","Dmel",0.62,13,145
"aop","CTX","Dsec",0.544,13,145
"aop","CTX","Dsim",0.651,13,145
"cnc","CTX","Dmel",0.677,16,145
"cnc","CTX","Dsec",0.654,16,145
"cnc","CTX","Dsim",0.745,16,145
"foxo","CTX","Dmel",0.498,7,145
"foxo","CTX","Dsec",0.574,7,145
"foxo","CTX","Dsim",0.443,7,145
"mld","CTX","Dmel",0.602,6,145
"mld","CTX","Dsec",0.673,6,145
"mld","CTX","Dsim",0.552,6,145
"pnt","CTX","Dmel",0.401,5,145
"pnt","CTX","Dsec",0.864,5,145
"pnt","CTX","Dsim",0.771,5,145
"vvl","CTX","Dmel",0.839,20,145
"vvl","CTX","Dsec",0.828,20,145
"vvl","CTX","Dsim",0.885,20,145
"Rfx","Clock_1","Dmel",0.654,2,26
"Rfx","Clock_1","Dsec",0.397,2,26
"Rfx","Clock_1","Dsim",0.447,2,26
"ap","Clock_1","Dmel",0.451,2,26
"ap","Clock_1","Dsec",0.364,2,26
"ap","Clock_1","Dsim",0.382,2,26
"bi","Clock_1","Dmel",0.947,18,26
"bi","Clock_1","Dsec",0.887,18,26
"bi","Clock_1","Dsim",0.959,18,26
"cwo","Clock_1","Dmel",0.331,3,26
"cwo","Clock_1","Dsec",0.406,3,26
"cwo","Clock_1","Dsim",0.374,3,26
"oc","Clock_1","Dmel",0.684,4,26
"oc","Clock_1","Dsec",0.572,4,26
"oc","Clock_1","Dsim",0.724,4,26
"vri","Clock_1","Dmel",0.331,2,26
"vri","Clock_1","Dsec",0.377,2,26
"vri","Clock_1","Dsim",0.341,2,26
"zld","Clock_1","Dmel",0.436,19,26
"zld","Clock_1","Dsec",0.391,19,26
"zld","Clock_1","Dsim",0.443,19,26
"CG43689","Clock_2","Dmel",0.777,4,49
"CG43689","Clock_2","Dsec",0.818,4,49
"CG43689","Clock_2","Dsim",0.72,4,49
"Ets65A","Clock_2","Dmel",0.718,13,49
"Ets65A","Clock_2","Dsec",0.786,13,49
"Ets65A","Clock_2","Dsim",0.708,13,49
"Myc","Clock_2","Dmel",0.311,11,49
"Myc","Clock_2","Dsec",0.649,11,49
"Myc","Clock_2","Dsim",0.644,11,49
"Sox21b","Clock_2","Dmel",0.515,11,49
"Sox21b","Clock_2","Dsec",0.7,11,49
"Sox21b","Clock_2","Dsim",0.438,11,49
"SoxN","Clock_2","Dmel",0.757,14,49
"SoxN","Clock_2","Dsec",0.5,14,49
"SoxN","Clock_2","Dsim",0.703,14,49
"aop","Clock_2","Dmel",0.602,13,49
"aop","Clock_2","Dsec",0.557,13,49
"aop","Clock_2","Dsim",0.764,13,49
"grn","Clock_2","Dmel",0.777,9,49
"grn","Clock_2","Dsec",0.7,9,49
"grn","Clock_2","Dsim",0.607,9,49
"Myc","Clock_3","Dmel",0.323,11,61
"Myc","Clock_3","Dsec",0.508,11,61
"Myc","Clock_3","Dsim",0.533,11,61
"Rfx","Clock_3","Dmel",0.785,2,61
"Rfx","Clock_3","Dsec",0.367,2,61
"Rfx","Clock_3","Dsim",0.4,2,61
"Sox21b","Clock_3","Dmel",0.569,11,61
"Sox21b","Clock_3","Dsec",0.475,11,61
"Sox21b","Clock_3","Dsim",0.514,11,61
"Stat92E","Clock_3","Dmel",0.492,11,61
"Stat92E","Clock_3","Dsec",0.35,11,61
"Stat92E","Clock_3","Dsim",0.52,11,61
"cnc","Clock_3","Dmel",0.323,16,61
"cnc","Clock_3","Dsec",0.541,16,61
"cnc","Clock_3","Dsim",0.351,16,61
"cwo","Clock_3","Dmel",0.385,3,61
"cwo","Clock_3","Dsec",0.492,3,61
"cwo","Clock_3","Dsim",0.527,3,61
"ewg","Clock_3","Dmel",0.354,2,61
"ewg","Clock_3","Dsec",0.459,2,61
"ewg","Clock_3","Dsim",0.392,2,61
"ham","Clock_3","Dmel",0.369,1,61
"ham","Clock_3","Dsec",0.35,1,61
"ham","Clock_3","Dsim",0.32,1,61
"vri","Clock_3","Dmel",0.462,2,61
"vri","Clock_3","Dsec",0.5,2,61
"vri","Clock_3","Dsim",0.527,2,61
"Stat92E","DOP/SER","Dmel",0.303,11,46
"Stat92E","DOP/SER","Dsec",0.36,11,46
"Stat92E","DOP/SER","Dsim",0.35,11,46
"SoxN","DOP_1","Dmel",0.432,14,28
"SoxN","DOP_1","Dsec",0.34,14,28
"SoxN","DOP_1","Dsim",0.441,14,28
"scro","DOP_1","Dmel",0.703,5,28
"scro","DOP_1","Dsec",0.784,5,28
"scro","DOP_1","Dsim",0.734,5,28
"sr","DOP_2","Dmel",0.647,14,42
"sr","DOP_2","Dsec",0.338,14,42
"sr","DOP_2","Dsim",0.317,14,42
"tup","DOP_2","Dmel",0.624,8,42
"tup","DOP_2","Dsec",0.595,8,42
"tup","DOP_2","Dsim",0.63,8,42
"cnc","Dh31","Dmel",0.353,16,14
"cnc","Dh31","Dsec",0.376,16,14
"cnc","Dh31","Dsim",0.333,16,14
"sr","Dh31","Dmel",0.314,14,14
"sr","Dh31","Dsec",0.448,14,14
"sr","Dh31","Dsim",0.323,14,14
"Clk","ENS","Dmel",0.339,2,74
"Clk","ENS","Dsec",0.305,2,74
"Clk","ENS","Dsim",0.36,2,74
"Drgx","ENS","Dmel",0.321,2,74
"Drgx","ENS","Dsec",0.362,2,74
"Drgx","ENS","Dsim",0.33,2,74
"Hnf4","ENS","Dmel",0.501,2,74
"Hnf4","ENS","Dsec",0.595,2,74
"Hnf4","ENS","Dsim",0.578,2,74
"MESR3","ENS","Dmel",0.368,1,74
"MESR3","ENS","Dsec",0.538,1,74
"MESR3","ENS","Dsim",0.407,1,74
"aop","ENS","Dmel",0.417,13,74
"aop","ENS","Dsec",0.396,13,74
"aop","ENS","Dsim",0.447,13,74
"cnc","ENS","Dmel",0.404,16,74
"cnc","ENS","Dsec",0.454,16,74
"cnc","ENS","Dsim",0.499,16,74
"pnt","ENS","Dmel",0.416,5,74
"pnt","ENS","Dsec",0.634,5,74
"pnt","ENS","Dsim",0.596,5,74
"vvl","ENS","Dmel",0.418,20,74
"vvl","ENS","Dsec",0.403,20,74
"vvl","ENS","Dsim",0.532,20,74
"Myc","FMRFa","Dmel",0.438,11,59
"Myc","FMRFa","Dsec",0.697,11,59
"Myc","FMRFa","Dsim",0.444,11,59
"Scr","FMRFa","Dmel",0.75,3,59
"Scr","FMRFa","Dsec",0.667,3,59
"Scr","FMRFa","Dsim",0.667,3,59
"Six4","FMRFa","Dmel",0.625,2,59
"Six4","FMRFa","Dsec",0.455,2,59
"Six4","FMRFa","Dsim",0.538,2,59
"Stat92E","FMRFa","Dmel",0.312,11,59
"Stat92E","FMRFa","Dsec",0.455,11,59
"Stat92E","FMRFa","Dsim",0.423,11,59
"ap","FMRFa","Dmel",0.375,2,59
"ap","FMRFa","Dsec",0.485,2,59
"ap","FMRFa","Dsim",0.333,2,59
"dac","FMRFa","Dmel",0.625,19,59
"dac","FMRFa","Dsec",0.424,19,59
"dac","FMRFa","Dsim",0.481,19,59
"svp","FMRFa","Dmel",0.562,3,59
"svp","FMRFa","Dsec",0.333,3,59
"svp","FMRFa","Dsim",0.615,3,59
"zld","FMRFa","Dmel",0.5,19,59
"zld","FMRFa","Dsec",0.333,19,59
"zld","FMRFa","Dsim",0.333,19,59
"CG32532","FMRFa_Dh44","Dmel",0.667,14,55
"CG32532","FMRFa_Dh44","Dsec",0.447,14,55
"CG32532","FMRFa_Dh44","Dsim",0.517,14,55
"Ets65A","FMRFa_Dh44","Dmel",0.75,13,55
"Ets65A","FMRFa_Dh44","Dsec",0.658,13,55
"Ets65A","FMRFa_Dh44","Dsim",0.786,13,55
"Optix","FMRFa_Dh44","Dmel",0.833,10,55
"Optix","FMRFa_Dh44","Dsec",0.789,10,55
"Optix","FMRFa_Dh44","Dsim",0.828,10,55
"Sox102F","FMRFa_Dh44","Dmel",0.917,7,55
"Sox102F","FMRFa_Dh44","Dsec",0.842,7,55
"Sox102F","FMRFa_Dh44","Dsim",0.897,7,55
"aop","FMRFa_Dh44","Dmel",0.875,13,55
"aop","FMRFa_Dh44","Dsec",0.816,13,55
"aop","FMRFa_Dh44","Dsim",0.893,13,55
"bi","GABA_1","Dmel",0.411,18,10
"bi","GABA_1","Dsec",0.492,18,10
"bi","GABA_1","Dsim",0.42,18,10
"vg","GABA_1","Dmel",0.349,1,10
"vg","GABA_1","Dsec",0.418,1,10
"vg","GABA_1","Dsim",0.381,1,10
"ey","GABA_10","Dmel",0.62,5,66
"ey","GABA_10","Dsec",0.477,5,66
"ey","GABA_10","Dsim",0.519,5,66
"mld","GABA_10","Dmel",0.66,6,66
"mld","GABA_10","Dsec",0.554,6,66
"mld","GABA_10","Dsim",0.556,6,66
"zld","GABA_10","Dmel",0.52,19,66
"zld","GABA_10","Dsec",0.446,19,66
"zld","GABA_10","Dsim",0.333,19,66
"Ets65A","GABA_11","Dmel",0.508,13,40
"Ets65A","GABA_11","Dsec",0.614,13,40
"Ets65A","GABA_11","Dsim",0.6,13,40
"aop","GABA_11","Dmel",0.712,13,40
"aop","GABA_11","Dsec",0.404,13,40
"aop","GABA_11","Dsim",0.618,13,40
"mirr","GABA_11","Dmel",0.729,6,40
"mirr","GABA_11","Dsec",0.561,6,40
"mirr","GABA_11","Dsim",0.909,6,40
"mld","GABA_11","Dmel",0.458,6,40
"mld","GABA_11","Dsec",0.386,6,40
"mld","GABA_11","Dsim",0.509,6,40
"Ets65A","GABA_12","Dmel",0.793,13,36
"Ets65A","GABA_12","Dsec",0.821,13,36
"Ets65A","GABA_12","Dsim",0.809,13,36
"aop","GABA_12","Dmel",0.448,13,36
"aop","GABA_12","Dsec",0.564,13,36
"aop","GABA_12","Dsim",0.574,13,36
"ara","GABA_12","Dmel",0.328,7,36
"ara","GABA_12","Dsec",0.634,7,36
"ara","GABA_12","Dsim",0.404,7,36
"caup","GABA_12","Dmel",0.448,10,36
"caup","GABA_12","Dsec",0.61,10,36
"caup","GABA_12","Dsim",0.426,10,36
"zld","GABA_12","Dmel",0.534,19,36
"zld","GABA_12","Dsec",0.359,19,36
"zld","GABA_12","Dsim",0.36,19,36
"Fer1","GABA_13","Dmel",0.68,5,35
"Fer1","GABA_13","Dsec",0.625,5,35
"Fer1","GABA_13","Dsim",0.606,5,35
"FoxK","GABA_13","Dmel",0.3,4,35
"FoxK","GABA_13","Dsec",0.396,4,35
"FoxK","GABA_13","Dsim",0.333,4,35
"Hr3","GABA_13","Dmel",0.32,5,35
"Hr3","GABA_13","Dsec",0.375,5,35
"Hr3","GABA_13","Dsim",0.447,5,35
"Optix","GABA_13","Dmel",0.5,10,35
"Optix","GABA_13","Dsec",0.375,10,35
"Optix","GABA_13","Dsim",0.606,10,35
"da","GABA_13","Dmel",0.36,12,35
"da","GABA_13","Dsec",0.333,12,35
"da","GABA_13","Dsim",0.455,12,35
"oc","GABA_13","Dmel",0.46,4,35
"oc","GABA_13","Dsec",0.375,4,35
"oc","GABA_13","Dsim",0.545,4,35
"rn","GABA_13","Dmel",0.48,17,35
"rn","GABA_13","Dsec",0.375,17,35
"rn","GABA_13","Dsim",0.485,17,35
"salm","GABA_13","Dmel",0.54,12,35
"salm","GABA_13","Dsec",0.575,12,35
"salm","GABA_13","Dsim",0.455,12,35
"salr","GABA_13","Dmel",0.48,15,35
"salr","GABA_13","Dsec",0.45,15,35
"salr","GABA_13","Dsim",0.667,15,35
"Ets65A","GABA_14","Dmel",0.662,13,40
"Ets65A","GABA_14","Dsec",0.52,13,40
"Ets65A","GABA_14","Dsim",0.31,13,40
"aop","GABA_14","Dmel",0.508,13,40
"aop","GABA_14","Dsec",0.44,13,40
"aop","GABA_14","Dsim",0.448,13,40
"caup","GABA_14","Dmel",0.338,10,40
"caup","GABA_14","Dsec",0.429,10,40
"caup","GABA_14","Dsim",0.345,10,40
"Camta","GABA_2","Dmel",0.383,2,72
"Camta","GABA_2","Dsec",0.509,2,72
"Camta","GABA_2","Dsim",0.425,2,72
"FoxK","GABA_2","Dmel",0.312,4,72
"FoxK","GABA_2","Dsec",0.308,4,72
"FoxK","GABA_2","Dsim",0.341,4,72
"Scr","GABA_2","Dmel",0.498,3,72
"Scr","GABA_2","Dsec",0.729,3,72
"Scr","GABA_2","Dsim",0.639,3,72
"CG32532","GABA_3","Dmel",0.369,14,15
"CG32532","GABA_3","Dsec",0.309,14,15
"CG32532","GABA_3","Dsim",0.367,14,15
"SoxN","GABA_3","Dmel",0.68,14,15
"SoxN","GABA_3","Dsec",0.346,14,15
"SoxN","GABA_3","Dsim",0.596,14,15
"vvl","GABA_3","Dmel",0.426,20,15
"vvl","GABA_3","Dsec",0.503,20,15
"vvl","GABA_3","Dsim",0.511,20,15
"CG12769","GABA_4","Dmel",0.301,4,43
"CG12769","GABA_4","Dsec",0.314,4,43
"CG12769","GABA_4","Dsim",0.319,4,43
"caup","GABA_4","Dmel",0.373,10,43
"caup","GABA_4","Dsec",0.448,10,43
"caup","GABA_4","Dsim",0.448,10,43
"pb","GABA_4","Dmel",0.644,1,43
"pb","GABA_4","Dsec",0.552,1,43
"pb","GABA_4","Dsim",0.552,1,43
"Fer1","GABA_5","Dmel",0.606,5,37
"Fer1","GABA_5","Dsec",0.632,5,37
"Fer1","GABA_5","Dsim",0.514,5,37
"RunxA","GABA_5","Dmel",0.319,4,37
"RunxA","GABA_5","Dsec",0.317,4,37
"RunxA","GABA_5","Dsim",0.347,4,37
"fkh","GABA_5","Dmel",0.638,16,37
"fkh","GABA_5","Dsec",0.759,16,37
"fkh","GABA_5","Dsim",0.81,16,37
"Atf6","GABA_6","Dmel",0.407,9,49
"Atf6","GABA_6","Dsec",0.458,9,49
"Atf6","GABA_6","Dsim",0.37,9,49
"Fer1","GABA_6","Dmel",0.604,5,49
"Fer1","GABA_6","Dsec",0.458,5,49
"Fer1","GABA_6","Dsim",0.571,5,49
"RunxA","GABA_6","Dmel",0.659,4,49
"RunxA","GABA_6","Dsec",0.583,4,49
"RunxA","GABA_6","Dsim",0.575,4,49
"acj6","GABA_6","Dmel",0.978,7,49
"acj6","GABA_6","Dsec",0.904,7,49
"acj6","GABA_6","Dsim",0.932,7,49
"oc","GABA_6","Dmel",0.604,4,49
"oc","GABA_6","Dsec",0.569,4,49
"oc","GABA_6","Dsim",0.529,4,49
"salm","GABA_6","Dmel",0.44,12,49
"salm","GABA_6","Dsec",0.528,12,49
"salm","GABA_6","Dsim",0.514,12,49
"salr","GABA_6","Dmel",0.429,15,49
"salr","GABA_6","Dsec",0.597,15,49
"salr","GABA_6","Dsim",0.63,15,49
"vvl","GABA_6","Dmel",0.879,20,49
"vvl","GABA_6","Dsec",0.833,20,49
"vvl","GABA_6","Dsim",0.8,20,49
"zld","GABA_6","Dmel",0.802,19,49
"zld","GABA_6","Dsec",0.667,19,49
"zld","GABA_6","Dsim",0.616,19,49
"inv","GABA_7","Dmel",0.337,2,61
"inv","GABA_7","Dsec",0.415,2,61
"inv","GABA_7","Dsim",0.382,2,61
"salm","GABA_7","Dmel",0.59,12,61
"salm","GABA_7","Dsec",0.736,12,61
"salm","GABA_7","Dsim",0.724,12,61
"salr","GABA_7","Dmel",0.651,15,61
"salr","GABA_7","Dsec",0.717,15,61
"salr","GABA_7","Dsim",0.56,15,61
"Lim3","GABA_8","Dmel",0.5,6,24
"Lim3","GABA_8","Dsec",0.577,6,24
