CellType Dmel Dsim Dsec DsecNoni
DOP/SER 0.371195248700817 0.366149480525425 0.342167343208722 0.357759427584916
Mip 0.359156483878087 0.29291958442034 0.395298918241132 0.409759344385049
Ach_7 0.357150023074299 0.352418875005721 0.289035768176312 0.25375959398465
Glu_5 0.351130640662935 0.56295482630784 0.503687331307249 0.432639307777108
Poxn_1 0.292943277353077 0.28147741315392 0.505812594308546 0.316159494144809
Ach_9 0.268865747707619 0.306650189940043 0.216776826132234 0.207999667200532
Clock_1 0.26685928690383 0.299784887180191 0.320914713195758 0.32031948748882
αβ-KC_2 0.260839904492466 0.251727767861229 0.318789450194462 0.282879547392724
NPF_Dh31 0.258833443688678 0.162478831983157 0.221027352134827 0.239199617280612
Ach_8 0.256826982884889 0.279188978900636 0.238029456145198 0.299519520768767
fru_5 0.248801139669737 0.260881504874365 0.291161031177608 0.266239574016682
GABA_3 0.24478821806216 0.249439333607945 0.38467260323465 0.368159410944943
Ach_14 0.240775296454584 0.169344134743009 0.119014728072599 0.145599767040373
Glu_7 0.236762374847007 0.212824385555403 0.235904193143902 0.305759510784783
Tk_2 0.228736531631855 0.272323676140784 0.214651563130937 0.216319653888554
Glu_8 0.218704227612914 0.215112819808687 0.299662083182794 0.22255964390457
Ach_11 0.212684845201549 0.212824385555403 0.182772618111491 0.187199700480479
Ach_12 0.212684845201549 0.192228477275848 0.184897881112788 0.19135969382449
sNPF_CCHa2_AstC 0.210678384397761 0.1990937800357 0.240154719146494 0.255839590656655
Clock_2 0.206665462790184 0.270035241887501 0.163645251099824 0.180959710464463
Dh31 0.204659001986396 0.219689688315255 0.197649459120566 0.255839590656655
fru_6 0.190613776359879 0.288342715913772 0.210401037128345 0.235039623936602
GABA_5 0.188607315556091 0.164767266236441 0.184897881112788 0.193439690496495
Glu_13 0.186600854752302 0.231131859581674 0.106263150064821 0.0748798801921917
GABA_6 0.182587933144726 0.167055700489725 0.176396829107602 0.162239740416415
Poxn_3 0.174562089929573 0.233420293834958 0.216776826132234 0.189279697152485
DOP_2 0.170549168321997 0.137306055197034 0.157269462095934 0.164319737088421
GABA_8 0.168542707518209 0.327246098219598 0.235904193143902 0.203839673856522
GABA_7 0.16653624671442 0.192228477275848 0.129641043079081 0.16015974374441
Ach_13 0.164529785910632 0.203670648542267 0.172146303105009 0.189279697152485
Glu_9 0.160516864303056 0.162478831983157 0.233778930142605 0.270399567360692
GABA_9 0.160516864303056 0.118998581170763 0.148768410090749 0.122719803648314
Ach_10 0.158510403499268 0.24028559659481 0.318789450194462 0.274559560704703
Ach_15 0.158510403499268 0.132729186690466 0.174271566106306 0.133119787008341
Glu_10 0.156503942695479 0.221978122568539 0.201899985123159 0.183039707136469
fru_8 0.156503942695479 0.18765160876928 0.172146303105009 0.185119703808474
Glu_11 0.156503942695479 0.157901963476589 0.16577051410112 0.158079747072405
Poxn_4 0.154497481891691 0.176209437502861 0.153018936093342 0.16015974374441
fru_9 0.152491021087903 0.0823836331182205 0.106263150064821 0.110239823616282
Ach_16 0.14446517787275 0.162478831983157 0.125390517076488 0.114399816960293
RYa 0.136439334657597 0.164767266236441 0.163645251099824 0.176799717120453
NPF_AstA 0.134432873853809 0.132729186690466 0.131766306080377 0.135199783680346
Clock_3 0.130419952246233 0.171632568996293 0.129641043079081 0.205919670528527
Glu_12 0.130419952246233 0.183074740262712 0.13601683208297 0.162239740416415
AstC_FMRFa 0.130419952246233 0.0869605016247883 0.13601683208297 0.158079747072405
GABA_14 0.130419952246233 0.0663645933452332 0.0595073640362995 0.070719886848181
fru_7 0.126407030638656 0.132729186690466 0.274158927167237 0.25791958732866
SUB 0.120387648227292 0.0836120401337793 0.138142095084267 0.0935998502402396
GABA_11 0.118381187423504 0.128152318183899 0.125390517076488 0.108159826944277
GABA_12 0.116374726619715 0.114421712664195 0.0871357830531528 0.0915198535682343
Tk_3 0.110355344208351 0.0663645933452332 0.0977620980596349 0.101919836928261
Glu_14 0.106342422600774 0.0915373701313561 0.155144199094638 0.0935998502402396
Tk_sNPF 0.104335961796986 0.0553980512920781 0.0786347310479672 0.124799800320319
GABA_10 0.10032304018941 0.123575449677331 0.138142095084267 0.172639723776442
GABA_13 0.10032304018941 0.0869605016247883 0.102012624062228 0.0686398901761757
Tk_Mip_RYa 0.0963101185818335 0.118998581170763 0.114764202070006 0.141439773696362
fru_10 0.0943036577780453 0.0915373701313561 0.127515780077785 0.0998398402562556
fru_11 0.0922971969742571 0.0961142386379239 0.0765094680466708 0.0727998835201864
TY_2 0.0862778145628925 0.0869605016247883 0.072258942044078 0.0790398735362023
Glu_15 0.0822648929553161 0.0915373701313561 0.106263150064821 0.0977598435842503
OCTY 0.0782519713477397 0.0617877248386654 0.0765094680466708 0.0603199034881544
Ach_17 0.0744154784195113 0.123575449677331 0.180647355110195 0.168479730432431
TY_1 0.0742390497401633 0.118998581170763 0.0913863090557457 0.0540799134721384
TY_3 0.0682196673287987 0.0594992905853815 0.0743842050453744 0.0727998835201864
fru_12 0.0662132065250105 0.0800951988649366 0.0743842050453744 0.0727998835201864
Tbh 0.0601938241136459 0.0429590170976888 0.0352476144918049 0.0661165119866788
fru_13 0.0561809025060695 0.048057119318962 0.0390434358223524 0.0436799301121118
MS 0.050161520094705 0.0709435492044188 0.0701336790427815 0.0748798801921917
FMRFa_Dh44 0.0481550592909168 0.0663645933452332 0.0807599940492636 0.0665598935041704
SER 0.0481550592909168 0.0640761590919493 0.046755786028521 0.0665598935041704
Poxn_5 0.0481550592909168 0.0532076619033141 0.0637578900388923 0.0582399068161491
sNPF_Dh44 0.0461485984871286 0.0594992905853815 0.0445773022865534 0.0291199534080745
fru_14 0.0341098336643994 0.050673963717442 0.0446305230272246 0.0499199201281278
FMRFa 0.0321033728606112 0.0617877248386654 0.0701336790427815 0.076959876864197
fru_15 0.0321033728606112 0.0320380795459746 0.0403799970246318 0.0457599267841171
Poxn_6 0.0220710688416702 0.034367213678151 0.0531315750324103 0.0457599267841171
